Book Title,Book Link,Review Page Link,Unique ID
To Kill a Mockingbird,https://www.goodreads.com/book/show/2657.To_Kill_a_Mockingbird,"https://www.goodreads.com/book/show/2657/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.bBuiCknnVtCo2qKc86WVjw"",""after"":""MjA0MTMsMTQzMTI3MTAzMTAwMA""}",2657
1984,https://www.goodreads.com/book/show/5470.1984,"https://www.goodreads.com/book/show/5470/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.SgJQSc4-cyFNY1JLB6R9mA"",""after"":""MjU1MjIsMTQ0NjcwODI3MzAwMA""}",5470
The Lord of the Rings,https://www.goodreads.com/book/show/33.The_Lord_of_the_Rings,"https://www.goodreads.com/book/show/33/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.g5RX8WhE47UG7Y7_dbEeRg"",""after"":""NjAyNCwxMjA2MjQxMDE1MDAw""}",33
The Catcher in the Rye,https://www.goodreads.com/book/show/5107.The_Catcher_in_the_Rye,"https://www.goodreads.com/book/show/5107/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.YHa4gac7IHvOiAUZkxSmsg"",""after"":""MjAyNzMsMTYxMTM1MTA1OTI2Ng""}",5107
The Great Gatsby,https://www.goodreads.com/book/show/4671.The_Great_Gatsby,"https://www.goodreads.com/book/show/4671/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.56BQMsZ2-7G__6NkMx9vWg"",""after"":""MjA0MDUsMTUwMTUzNjQ5MzI0Mw""}",4671
"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",https://www.goodreads.com/book/show/100915.The_Lion_the_Witch_and_the_Wardrobe,"https://www.goodreads.com/book/show/100915/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.rqpJlzO5rS559vW35rJa1w"",""after"":""NzgwNiwxMjI2NTA1MzM0MDAw""}",100915
Lord of the Flies,https://www.goodreads.com/book/show/7624.Lord_of_the_Flies,"https://www.goodreads.com/book/show/7624/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.mylCQ2vLQs_kZba8SrXsZg"",""after"":""MTMxMzYsMTE4Nzc5NTE2OTAwMA""}",7624
Animal Farm,https://www.goodreads.com/book/show/7613.Animal_Farm,"https://www.goodreads.com/book/show/7613/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.V_MbIpN8vLdVjldwRz26LA"",""after"":""MTk2MDQsMTUyOTU4MjA3NjU4NQ""}",7613
Catch-22,https://www.goodreads.com/book/show/168668.Catch_22,"https://www.goodreads.com/book/show/168668/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.TGfOLXjds8UOkVpgIJnfFg"",""after"":""OTYwOCwxMTg3MDM0NDE0MDAw""}",168668
The Grapes of Wrath,https://www.goodreads.com/book/show/4395.The_Grapes_of_Wrath,"https://www.goodreads.com/book/show/4395/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.KLxsHwrns90ziRPAgXak1g"",""after"":""MTE5MDAsMTM2MTE5OTMyMjAwMA""}",4395
Gone with the Wind,https://www.goodreads.com/book/show/18405.Gone_with_the_Wind,"https://www.goodreads.com/book/show/18405/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.OxU9KUWF_x6aFiXWYu-dfw"",""after"":""MTEyMjMsMTUxNzc5MDk4Njg3MQ""}",18405
Slaughterhouse-Five,https://www.goodreads.com/book/show/4981.Slaughterhouse_Five,"https://www.goodreads.com/book/show/4981/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.uo3EThst9_tVM3ViTvvfZQ"",""after"":""MTM2NDAsMTI3NzQxODczMjAwMA""}",4981
One Flew Over the Cuckoo's Nest,https://www.goodreads.com/book/show/332613.One_Flew_Over_the_Cuckoo_s_Nest,"https://www.goodreads.com/book/show/332613/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.1Fu2yCahxwhs8jrHcypR3Q"",""after"":""OTIxNSwxNTIzMTUxOTA3NzU4""}",332613
A Clockwork Orange,https://www.goodreads.com/book/show/227463.A_Clockwork_Orange,"https://www.goodreads.com/book/show/227463/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.Jt780CrmQooAn5DkYMh5nA"",""after"":""OTgzMSwxNDkzMTg0NjU2MjI1""}",227463
Lolita,https://www.goodreads.com/book/show/7604.Lolita,"https://www.goodreads.com/book/show/7604/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.dMjeaMPyiD1Oy11ZF_vVJw"",""after"":""MjExMjUsMTM3NTU4NTExNzAwMA""}",7604
"Are You There God? It's Me, Margaret",https://www.goodreads.com/book/show/37732.Are_You_There_God_It_s_Me_Margaret,"https://www.goodreads.com/book/show/37732/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.svj1mmstYLbFxCFdAJSNRA"",""after"":""MjkyNiwxMjU4OTk1NzM1MDAw""}",37732
Atonement,https://www.goodreads.com/book/show/6867.Atonement,"https://www.goodreads.com/book/show/6867/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.UBpzJ8mEiqZfWPXpcSRFmw"",""after"":""NjIzMiwxMjQzOTgxMTYyMDAw""}",6867
"Watchmen (Watchmen, #1-12)",https://www.goodreads.com/book/show/472331.Watchmen,"https://www.goodreads.com/book/show/472331/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.2vHeRVTabVX_qrmBfhqyZA"",""after"":""NTYxMCwxMzMyMTc0NjM4MDAw""}",472331
Never Let Me Go,https://www.goodreads.com/book/show/6334.Never_Let_Me_Go,"https://www.goodreads.com/book/show/6334/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.Z4gC--jsCarRwWlyoQp-VQ"",""after"":""MTc1MTAsMTYxMDYzNjU5MTkxOA""}",6334
"Things Fall Apart (The African Trilogy, #1)",https://www.goodreads.com/book/show/37781.Things_Fall_Apart,"https://www.goodreads.com/book/show/37781/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.O07zdgQmYuVRYPvaArHi0A"",""after"":""NTk4OSwxNTUwMzEzMjI5MTA4""}",37781
Invisible Man,https://www.goodreads.com/book/show/16981.Invisible_Man,"https://www.goodreads.com/book/show/16981/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.g_rlKUfL897lEIYGhs2xtQ"",""after"":""MzQwOSwxNDUxMzE4MjA4MDAw""}",16981
Mrs. Dalloway,https://www.goodreads.com/book/show/14942.Mrs_Dalloway,"https://www.goodreads.com/book/show/14942/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.BWoHuYZ0fpkTyScWKa57Lw"",""after"":""MTA1MTgsMTQxNTAyNzcxMzAwMA""}",14942
Beloved,https://www.goodreads.com/book/show/6149.Beloved,"https://www.goodreads.com/book/show/6149/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.FlEnWChbRmLfXODlaKjAXQ"",""after"":""ODUyNSwxNTk2Mzc1NzYyODk3""}",6149
On the Road,https://www.goodreads.com/book/show/70401.On_the_Road,"https://www.goodreads.com/book/show/70401/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.H7Tml5q5hSRfA76VIXR3sA"",""after"":""NjIzMCwxNTE2ODc2OTM1NTk4""}",70401
The Sun Also Rises,https://www.goodreads.com/book/show/3876.The_Sun_Also_Rises,"https://www.goodreads.com/book/show/3876/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.lLRZ_SWNxRUF9BPjLuR7Hg"",""after"":""ODQwOSwxNTIyMDc2MzYzMDAw""}",3876
Possession,https://www.goodreads.com/book/show/41219.Possession,"https://www.goodreads.com/book/show/41219/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.pzbr8OOM3j1AQwiGIKaHhw"",""after"":""MzQxNCwxNDc0MTIzNDc1NTAw""}",41219
The Big Sleep,https://www.goodreads.com/book/show/2052.The_Big_Sleep,"https://www.goodreads.com/book/show/2052/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.LgNNQBsEwmbSmnAgwwDZ8g"",""after"":""NTQxMCwxNTA1MDcyNTUzOTM2""}",2052
A Passage to India,https://www.goodreads.com/book/show/45195.A_Passage_to_India,"https://www.goodreads.com/book/show/45195/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.l1OMZJMRCSBafNo5eY1KWg"",""after"":""MzUzNiwxMzc5MDA1NDg0MDAw""}",45195
"I, Claudius (Claudius, #1)",https://www.goodreads.com/book/show/18765.I_Claudius,"https://www.goodreads.com/book/show/18765/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.Io4FeWXK7B361O55E_v9EA"",""after"":""MjMxMywxNTk3MjMxOTA0ODY2""}",18765
Their Eyes Were Watching God,https://www.goodreads.com/book/show/37415.Their_Eyes_Were_Watching_God,"https://www.goodreads.com/book/show/37415/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.vD9EboZcYr4i4HDnVizX-g"",""after"":""NjQzMiwxNDYyNzI2NzkxMDAw""}",37415
The Sound and the Fury,https://www.goodreads.com/book/show/10975.The_Sound_and_the_Fury,"https://www.goodreads.com/book/show/10975/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.0CzjUlrjXj4OR9u0iipxhA"",""after"":""NzU3MywxMzI0MzEzNDc2MDAw""}",10975
All the King's Men,https://www.goodreads.com/book/show/5527.All_the_King_s_Men,"https://www.goodreads.com/book/show/5527/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.IB29xy3aoW5r_01gh0Yz8Q"",""after"":""MjQwMSwxNjEwMzAzMDc2NDk0""}",5527
The Blind Assassin,https://www.goodreads.com/book/show/78433.The_Blind_Assassin,"https://www.goodreads.com/book/show/78433/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.uUHPxv8YITZxYKH6q0Uwfg"",""after"":""NTgzMCwxNTAzNDkxNjQzOTc3""}",78433
Native Son,https://www.goodreads.com/book/show/15622.Native_Son,"https://www.goodreads.com/book/show/15622/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.toaWYf21_-nZmk-jwf87jQ"",""after"":""MjExOCwxNTkxOTE0NTM3NzEz""}",15622
To the Lighthouse,https://www.goodreads.com/book/show/59716.To_the_Lighthouse,"https://www.goodreads.com/book/show/59716/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.go0y29TB8LqVtGiVB11oGQ"",""after"":""MTE2MDksMTYwNzk3Mjk4MDk1Mw""}",59716
Ragtime,https://www.goodreads.com/book/show/175675.Ragtime,"https://www.goodreads.com/book/show/175675/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.9OBXYabLtw8LvHBpcKYVAw"",""after"":""MjcxMiwxNTE4MTkyMjU2NTA4""}",175675
The French Lieutenant's Woman,https://www.goodreads.com/book/show/56034.The_French_Lieutenant_s_Woman,"https://www.goodreads.com/book/show/56034/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.zeLdk2NMXH_dNb6DZZsA6A"",""after"":""MjE1NiwxMzU1MDkyMjY5MDAw""}",56034
Light in August,https://www.goodreads.com/book/show/10979.Light_in_August,"https://www.goodreads.com/book/show/10979/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.uPEMTE4stYob1cXrKVhcyQ"",""after"":""MzcwNiwxNDg5NDg0NjAyMjIz""}",10979
"The Spy Who Came In from the Cold (George Smiley, #3)",https://www.goodreads.com/book/show/19494.The_Spy_Who_Came_In_from_the_Cold,"https://www.goodreads.com/book/show/19494/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.E5lrGQ-Q9n5CrCm8UIg5jw"",""after"":""MzYwMiwxNDcwMzExMDgxMDAw""}",19494
The Heart Is a Lonely Hunter,https://www.goodreads.com/book/show/37380.The_Heart_Is_a_Lonely_Hunter,"https://www.goodreads.com/book/show/37380/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1._fAj568KhiI0eR8eXPwN0Q"",""after"":""ODExNCwxMzA2NTI1ODM5MDAw""}",37380
"Blood Meridian, or the Evening Redness in the West",https://www.goodreads.com/book/show/394535.Blood_Meridian_or_the_Evening_Redness_in_the_West,"https://www.goodreads.com/book/show/394535/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.9H9kQwFhTY57sfMRHouaMA"",""after"":""NzExNCwxMzg3MzgxODUzMDAw""}",394535
White Noise,https://www.goodreads.com/book/show/11762.White_Noise,"https://www.goodreads.com/book/show/11762/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.B_P2NOX-O5GG_CCFxBv2nQ"",""after"":""NTkwMywxNDEyNzM0MTQxMDAw""}",11762
Naked Lunch,https://www.goodreads.com/book/show/7437.Naked_Lunch,"https://www.goodreads.com/book/show/7437/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.GbPl4CkQpI8Vi7DtgXUFNQ"",""after"":""MzQwMywxNjMzMzI5NTQzOTc5""}",7437
Infinite Jest,https://www.goodreads.com/book/show/6759.Infinite_Jest,"https://www.goodreads.com/book/show/6759/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.saWDcfsBTXeXgjrCTFXO9g"",""after"":""OTA2NywxNjQ4MDk3NTA2NDEz""}",6759
Brideshead Revisited,https://www.goodreads.com/book/show/30933.Brideshead_Revisited,"https://www.goodreads.com/book/show/30933/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.l4-n-DrBwtlWDzeXXmWfFg"",""after"":""NDYxNiwxNTk4NTg5NDI0Njk2""}",30933
Snow Crash,https://www.goodreads.com/book/show/830.Snow_Crash,"https://www.goodreads.com/book/show/830/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.ggMYpEsXebsvwhPq2heC6A"",""after"":""Mzg1MywxNjY3NTAxODgzOTE4""}",830
Revolutionary Road,https://www.goodreads.com/book/show/48328.Revolutionary_Road,"https://www.goodreads.com/book/show/48328/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.0hRuuVKJZx3lUQw-EaUtGw"",""after"":""NDIxNywxNDA0NDQ1NTEwMDAw""}",48328
Midnight's Children,https://www.goodreads.com/book/show/14836.Midnight_s_Children,"https://www.goodreads.com/book/show/14836/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.zryuVbQ0pRWMa6Q58xLzKg"",""after"":""Njg0NCwxNDUyMTc2ODgzMDAw""}",14836
The Prime of Miss Jean Brodie,https://www.goodreads.com/book/show/517188.The_Prime_of_Miss_Jean_Brodie,"https://www.goodreads.com/book/show/517188/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.4MtXYTv9kj-YShxlcO6SqA"",""after"":""NDE0NywxMzMyODI5ODY0MDAw""}",517188
Death Comes for the Archbishop,https://www.goodreads.com/book/show/545951.Death_Comes_for_the_Archbishop,"https://www.goodreads.com/book/show/545951/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.ZZucD4m7dHoT6x1hod4Vgg"",""after"":""MjcwNSwxMjE4NTgzMzg0MDAw""}",545951
The Bridge of San Luis Rey,https://www.goodreads.com/book/show/92508.The_Bridge_of_San_Luis_Rey,"https://www.goodreads.com/book/show/92508/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.rEeIyRbKsy8X8P0BdGc24A"",""after"":""MjMwOSwxMjE2NzU0OTkyMDAw""}",92508
American Pastoral,https://www.goodreads.com/book/show/11650.American_Pastoral,"https://www.goodreads.com/book/show/11650/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.5LuPZZ02lwTh1cxxDQzPEw"",""after"":""NDkyNCwxMzM1NjM3OTQ0MDAw""}",11650
The Power and the Glory,https://www.goodreads.com/book/show/3690.The_Power_and_the_Glory,"https://www.goodreads.com/book/show/3690/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.dDNaauAhQAdDUru3Woo5ZA"",""after"":""MzQyMCwxNjI4NjMwMTQ2MjI0""}",3690
The Crying of Lot 49,https://www.goodreads.com/book/show/2794.The_Crying_of_Lot_49,"https://www.goodreads.com/book/show/2794/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.EY8t86gLKVw9czQy3sCDjA"",""after"":""NDIxNSwxNTMxNzE3NjkwMjMx""}",2794
Portnoy’s Complaint,https://www.goodreads.com/book/show/43945.Portnoy_s_Complaint,"https://www.goodreads.com/book/show/43945/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.xrKoSojgr3RInZaRKEFxNA"",""after"":""MzMwMSwxNTI3NDE3NTcwNDU4""}",43945
Wide Sargasso Sea,https://www.goodreads.com/book/show/44597.Wide_Sargasso_Sea,"https://www.goodreads.com/book/show/44597/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.RMl6w9lTnXoIDW0f4BjCWg"",""after"":""NzI4MSwxNjAxOTQ5ODg2ODk1""}",44597
"Neuromancer (Sprawl, #1)",https://www.goodreads.com/book/show/22328.Neuromancer,"https://www.goodreads.com/book/show/22328/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.YY2B0fUHK6hN75TvfJoOcw"",""after"":""NDIyMCwxMjc3NTU4NjczMDAw""}",22328
The Corrections,https://www.goodreads.com/book/show/3805.The_Corrections,"https://www.goodreads.com/book/show/3805/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.6zpRG2Uf1YdZEddU7dQAvw"",""after"":""NDMyMSwxNTQxNjAxNDgwMjE2""}",3805
Red Harvest (The Continental Op #1),https://www.goodreads.com/book/show/30005.Red_Harvest,"https://www.goodreads.com/book/show/30005/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.D_1oSHHTIEfvQWA20hveJw"",""after"":""MjQwOSwxNTk3Mzg5NDU1NjEx""}",30005
Gravity's Rainbow,https://www.goodreads.com/book/show/415.Gravity_s_Rainbow,"https://www.goodreads.com/book/show/415/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.h407Wk5Jlo7Noj9WeMKomw"",""after"":""NTExNSwxNDE0NjQyMTQ1MDAw""}",415
Under the Volcano,https://www.goodreads.com/book/show/31072.Under_the_Volcano,"https://www.goodreads.com/book/show/31072/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.ld6xuTytbsJY5hVIz-qHEA"",""after"":""MzYyNywxNjM3NDQ1MzA3NjQ4""}",31072
The Painted Bird,https://www.goodreads.com/book/show/18452.The_Painted_Bird,"https://www.goodreads.com/book/show/18452/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.XW43GinzXkoBnwKHRrXjkg"",""after"":""MjExMSwxMzIwODc4NjA5MDAw""}",18452
Go Tell It on the Mountain,https://www.goodreads.com/book/show/17143.Go_Tell_It_on_the_Mountain,"https://www.goodreads.com/book/show/17143/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.9HF861R9adZ92C394qIkHA"",""after"":""NDExMywxNTY4NTgxMTI2OTQ5""}",17143
A House for Mr Biswas,https://www.goodreads.com/book/show/5849.A_House_for_Mr_Biswas,"https://www.goodreads.com/book/show/5849/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.FYtyb06mMhD0pPedPdz8qQ"",""after"":""OTI1LDE1NTQ0ODIyNDAzMTM""}",5849
Play It As It Lays,https://www.goodreads.com/book/show/428.Play_It_As_It_Lays,"https://www.goodreads.com/book/show/428/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.LA7jV-WRzE8vB2k3AtfN6w"",""after"":""MjkxOSwxMjM2ODIyNzE0MDAw""}",428
Lucky Jim,https://www.goodreads.com/book/show/395182.Lucky_Jim,"https://www.goodreads.com/book/show/395182/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.TMmxySaHjYN2gfNZL9wLIw"",""after"":""MTI1MSwxMzQyMTI2NDU0MDAw""}",395182
Ubik,https://www.goodreads.com/book/show/22590.Ubik,"https://www.goodreads.com/book/show/22590/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.52RwyILs35R1rhFAmhseXA"",""after"":""NDIzMCwxNTAxNTcxMzU1MDAw""}",22590
"Rabbit, Run (Rabbit Angstrom, #1)",https://www.goodreads.com/book/show/85386.Rabbit_Run,"https://www.goodreads.com/book/show/85386/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.TsFsp9uuC9jUACi6yhAUCQ"",""after"":""MzY1MCwxNTk1MzMwNjYxOTE1""}",85386
White Teeth,https://www.goodreads.com/book/show/3711.White_Teeth,"https://www.goodreads.com/book/show/3711/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.lmfHUrb4fRz7GBgE-kWUeA"",""after"":""MzgzOSwxNDE2MjQxOTAxMDAw""}",3711
The Golden Notebook,https://www.goodreads.com/book/show/24100.The_Golden_Notebook,"https://www.goodreads.com/book/show/24100/reviews?reviewFilters={""workId"":""kca://work/amzn1.gr.work.v1.5f45xR_826zx2YsD0hdcJg"",""after"":""MjUxMCwxNDY3NTE0NjE4MDAw""}",24100
